UID,Name,Description,HP,Amour,MoveSpeed,Attribute,Coin,SkillUID,IsBoss
1,Slime,,5,0,1,None,10,0,FALSE
2,SlimeKing,,10,0,1,None,10,0,TRUE
3,Mushroom,,5,0,1,None,10,0,FALSE
4,Yggdrasil,,10,0,1,None,10,0,TRUE
5,Lizardman,,10,0,1,None,10,0,FALSE
6,minotaur,,10,0,1,None,10,0,TRUE
7,Werewolf,,10,0,1,None,10,0,FALSE
8,Lycanthrope,,10,0,1,None,10,0,TRUE
9,Golem,,10,0,1,None,10,0,FALSE
10,Titan,,10,0,1,None,10,0,TRUE
11,Elemental,,10,0,1,None,10,0,FALSE
12,Guardian,,10,0,1,None,10,0,TRUE
1001,MergeKeeper,,10,0,1,None,10,0,FALSE
